id;kliendigrupp
mta-139;eraisik
mta-138;eraisik
mta-137;eraisik
mta-136;eraisik
mta-135;eraisik
mta-134;eraisik
mta-133;eraisik
mta-132;eraisik
RAVI-001;eraisik
VENE-001;eraisik
mta-131;eraisik
mta-130;eraisik
mta-129;eraisik
mta-128;eraisik
mta-127;eraisik
mta-126;eraisik
mta-125;eraisik
mta-124;eraisik
mta-123;eraisik
mta-122;eraisik
mta-121;eraisik
mta-120;eraisik
mta-119;eraisik
mta-118;eraisik
mta-117;eraisik
mta-116;eraisik
mta-115;eraisik
mta-114;eraisik
mta-113;eraisik
mta-112;eraisik
mta-111;eraisik
mta-110;eraisik
mta-109;eraisik
mta-108;eraisik
mta-107;eraisik
mta-106;eraisik
mta-105;eraisik
mta-104;eraisik
mta-103;eraisik
mta-102;eraisik
mta-101;eraisik
mta-100;eraisik
mta-099;eraisik
SISE-006;eraisik
SISE-005;eraisik
mta-098;eraisik
mta-097;eraisik
mta-096;eraisik
SISE-002;eraisik
mta-095;eraisik
SISE-001;eraisik
mta-094;eraisik
mta-093;eraisik
mta-092;eraisik
PPA-043;eraisik
PPA-042;eraisik
PPA-041;eraisik
PPA-040;eraisik
PPA-039;eraisik
KEM-022;eraisik
PPA-038;eraisik
PPA-037;eraisik
PPA-036;eraisik
PPA-035;eraisik
PPA-034;eraisik
PPA-033;eraisik
PPA-032;eraisik
mta-091;eraisik
PPA-031;eraisik
PPA-030;eraisik
PPA-029;eraisik
PPA-028;eraisik
PPA-027;eraisik
PPA-026;eraisik
PPA-025;eraisik
PPA-024;eraisik
PPA-023;eraisik
PPA-022;eraisik
PPA-021;eraisik
PPA-020;eraisik
PPA-019;eraisik
PPA-018;eraisik
PPA-017;eraisik
PPA-016;eraisik
PPA-015;eraisik
PPA-014;eraisik
PPA-013;eraisik
PPA-012;eraisik
PPA-011;eraisik
mta-090;eraisik
mta-089;eraisik
mta-088;eraisik
mta-087;eraisik
mta-086;eraisik
mta-085;eraisik
PPA-010;eraisik
PPA-009;eraisik
mta-084;eraisik
mta-083;eraisik
mta-082;eraisik
mta-081;eraisik
mta-080;eraisik
PPA-008;eraisik
mta-079;eraisik
mta-078;eraisik
mta-077;eraisik
PPA-007;eraisik
PPA-006;eraisik
PPA-005;eraisik
PPA-004;eraisik
PPA-003;eraisik
KKI-003;eraisik
PPA-002;eraisik
PPA-001;eraisik
KKI-002;eraisik
KKI-001;eraisik
mta-076;eraisik
mta-075;eraisik
mta-074;eraisik
mta-073;eraisik
mta-072;eraisik
mta-071;eraisik
mta-070;eraisik
KUM-006;eraisik
KUM-005;eraisik
mta-069;eraisik
mta-068;eraisik
TAI-001;eraisik
mta-067;eraisik
mta-066;eraisik
mta-065;eraisik
mta-064;eraisik
mta-063;eraisik
KEM-021;eraisik
KEM-020;eraisik
KEM-019;eraisik
KEM-018;eraisik
KEM-017;eraisik
MAA-034;eraisik
MAA-033;eraisik
MAA-032;eraisik
MAA-031;eraisik
MAA-030;eraisik
mta-062;eraisik
mta-061;eraisik
MAA-029;eraisik
mta-060;eraisik
MAA-028;eraisik
mta-059;eraisik
mta-058;eraisik
mta-057;eraisik
mta-056;eraisik
MIL-004;eraisik
mta-055;eraisik
MIL-003;eraisik
MAA-027;eraisik
MAA-026;eraisik
mta-054;eraisik
mta-053;eraisik
MAA-025;eraisik
mta-052;eraisik
mta-051;eraisik
mta-050;eraisik
MAA-024;eraisik
mta-049;eraisik
mta-048;eraisik
mta-047;eraisik
MAA-023;eraisik
mta-046;eraisik
mta-045;eraisik
mta-044;eraisik
mta-043;eraisik
mta-042;eraisik
mta-041;eraisik
mta-040;eraisik
mta-039;eraisik
mta-038;eraisik
RM-027;eraisik
RM-026;eraisik
RM-025;eraisik
RM-024;eraisik
RM-023;eraisik
RM-022;eraisik
RM-021;eraisik
RM-020;eraisik
RM-019;eraisik
RM-018;eraisik
RM-017;eraisik
RM-016;eraisik
RM-015;eraisik
RM-014;eraisik
RIK-003;eraisik
mta-037;eraisik
mta-036;eraisik
mta-035;eraisik
mta-034;eraisik
RIA-047;eraisik
mta-033;eraisik
mta-032;eraisik
mta-031;eraisik
RIA-046;eraisik
MAA-021;eraisik
MAA-020;eraisik
MAA-019;eraisik
KEM-016;eraisik
KEM-015;eraisik
KEM-014;eraisik
KEM-013;eraisik
MAA-018;eraisik
MAA-017;eraisik
RIK-002;eraisik
mta-030;eraisik
PMA-009;eraisik
mta-029;eraisik
mta-028;eraisik
mta-027;eraisik
mta-026;eraisik
mta-025;eraisik
mta-024;eraisik
mta-023;eraisik
mta-022;eraisik
mta-021;eraisik
mta-020;eraisik
mta-019;eraisik
mta-018;eraisik
mta-017;eraisik
EPA-020;eraisik
mta-016;eraisik
EPA-019;eraisik
mta-015;eraisik
mta-014;eraisik
mta-013;eraisik
mta-012;eraisik
RIA-045;eraisik
RIA-044;eraisik
RIA-043;eraisik
RIA-042;eraisik
RIA-041;eraisik
RIA-040;eraisik
RIA-039;eraisik
RIA-038;eraisik
EPA-018;eraisik
SIM-023;eraisik
SIM-022;eraisik
RIK-001;eraisik
SIM-021;eraisik
SIM-020;eraisik
SIM-019;eraisik
EPA-017;eraisik
SIM-018;eraisik
SIM-017;eraisik
ERR-014;eraisik
ERR-013;eraisik
ERR-012;eraisik
ERR-011;eraisik
ERR-010;eraisik
EPA-016;eraisik
SIM-016;eraisik
SIM-015;eraisik
SIM-014;eraisik
SIM-013;eraisik
SIM-012;eraisik
SIM-011;eraisik
SIM-010;eraisik
SIM-009;eraisik
ERR-009;eraisik
ERR-008;eraisik
ERR-007;eraisik
ERR-006;eraisik
ERR-005;eraisik
SIM-008;eraisik
SIM-007;eraisik
MAA-016;eraisik
SIM-006;eraisik
SIM-005;eraisik
SIM-004;eraisik
KEM-012;eraisik
KEM-011;eraisik
RM-013;eraisik
ERR-004;eraisik
ERR-003;eraisik
ERR-002;eraisik
TKA-008;eraisik
PMA-006;eraisik
UNES-001;eraisik
PMA-005;eraisik
RTK-006;eraisik
RTK-005;eraisik
RTK-004;eraisik
RTK-003;eraisik
RTK-002;eraisik
PMA-004;eraisik
JUM-041;eraisik
EPA-015;eraisik
JUM-040;eraisik
JUM-039;eraisik
JUM-038;eraisik
EPA-014;eraisik
NLIB-007;eraisik
NLIB-006;eraisik
NLIB-005;eraisik
NLIB-004;eraisik
NLIB-003;eraisik
NLIB-002;eraisik
NLIB-001;eraisik
PMA-001;eraisik
INNO-021;eraisik
ELK-003;eraisik
INNO-020;eraisik
INNO-019;eraisik
ELK-002;eraisik
INNO-018;eraisik
INNO-017;eraisik
INNO-016;eraisik
SIM-003;eraisik
INNO-015;eraisik
SIM-002;eraisik
INNO-014;eraisik
INNO-013;eraisik
INNO-012;eraisik
INNO-011;eraisik
INNO-010;eraisik
ELK-001;eraisik
MA-059;eraisik
MA-058;eraisik
KEM-010;eraisik
KEM-009;eraisik
INNO-009;eraisik
KEM-008;eraisik
KEM-007;eraisik
EDT-004;eraisik
EDT-003;eraisik
EDT-002;eraisik
EDT-001;eraisik
MUIN-009;eraisik
MUIN-008;eraisik
MA-057;eraisik
MUIN-007;eraisik
MUIN-006;eraisik
MUIN-005;eraisik
MUIN-004;eraisik
MUIN-003;eraisik
MUIN-002;eraisik
MUIN-001;eraisik
SIM-001;eraisik
TMM-001;eraisik
MAA-015;eraisik
MAA-014;eraisik
ETAG-011;eraisik
ETAG-010;eraisik
ETAG-009;eraisik
ETAG-008;eraisik
ETAG-007;eraisik
MAA-013;eraisik
MAA-012;eraisik
MAA-011;eraisik
MAA-010;eraisik
MAA-009;eraisik
CONC-001;eraisik
MAA-008;eraisik
MAA-007;eraisik
MAA-006;eraisik
MAA-005;eraisik
MAA-004;eraisik
MAA-003;eraisik
ETAG-006;eraisik
MAA-002;eraisik
MAA-001;eraisik
ETAG-005;eraisik
ETAG-004;eraisik
ETAG-003;eraisik
ETAG-002;eraisik
ETAG-001;eraisik
RKUL-008;eraisik
RKUL-007;eraisik
PMK-004;eraisik
PRIA-011;eraisik
PRIA-010;eraisik
PRIA-009;eraisik
PRIA-008;eraisik
VET-012;eraisik
VET-011;eraisik
VET-010;eraisik
KUTS-005;eraisik
KUTS-004;eraisik
KUTS-003;eraisik
KUTS-002;eraisik
KUTS-001;eraisik
JUM-007;eraisik
JUM-027;eraisik
