nimi;haldusala;registrikood
Maamajanduse Infokeskus;Kultuuriministeeriumi haldusala;70000059
Põllumajandusamet;Kultuuriministeeriumi haldusala;70000071
Põllumajanduse Registrite ja Informatsiooni Amet;Kultuuriministeeriumi haldusala;70005967
Põllumajandusuuringute Keskus;Kultuuriministeeriumi haldusala;70000042
Veterinaar- ja Toiduamet;Kultuuriministeeriumi haldusala;70000094
Veterinaar- ja Toidulaboratoorium;Kultuuriministeeriumi haldusala;70000065
A.L.A.R.A AS;Majandus- ja Kommunikatsiooniministeeriumi haldusala;10462309
AS Eesti Liinirongid;Majandus- ja Kommunikatsiooniministeeriumi haldusala;10520953
AS Eesti Loots;Majandus- ja Kommunikatsiooniministeeriumi haldusala;10717897
AS Eesti Post (Omniva);Majandus- ja Kommunikatsiooniministeeriumi haldusala;10328799
AS Eesti Raudtee;Majandus- ja Kommunikatsiooniministeeriumi haldusala;11575838
AS Eesti Teed;Majandus- ja Kommunikatsiooniministeeriumi haldusala;12249762
AS Eesti Vedelkütusevaru Agentuur;Majandus- ja Kommunikatsiooniministeeriumi haldusala;11124171
AS EVR Cargo;Majandus- ja Kommunikatsiooniministeeriumi haldusala;11575850
AS KredEx Krediidikindlustus;Majandus- ja Kommunikatsiooniministeeriumi haldusala;11948506
AS Metrosert;Majandus- ja Kommunikatsiooniministeeriumi haldusala;10397748
AS Saarte Liinid;Majandus- ja Kommunikatsiooniministeeriumi haldusala;10216057
AS Tallinna Lennujaam;Majandus- ja Kommunikatsiooniministeeriumi haldusala;10349560
AS Tallinna Sadam;Majandus- ja Kommunikatsiooniministeeriumi haldusala;10137319
AS Teede Tehnokeskus;Majandus- ja Kommunikatsiooniministeeriumi haldusala;10701123
EAK (SA Eesti Akrediteerimiskeskus);Majandus- ja Kommunikatsiooniministeeriumi haldusala;90005739
EAS (Ettevõtluse Arendamise Sihtasutus);Majandus- ja Kommunikatsiooniministeeriumi haldusala;90006006
Eesti Arengufond;Majandus- ja Kommunikatsiooniministeeriumi haldusala;74002233
Eesti Interneti Sihtasutus;Majandus- ja Kommunikatsiooniministeeriumi haldusala;90010019
Elering AS;Majandus- ja Kommunikatsiooniministeeriumi haldusala;11022625
Lennuamet;Majandus- ja Kommunikatsiooniministeeriumi haldusala;70000800
Lennuliiklusteeninduse AS;Majandus- ja Kommunikatsiooniministeeriumi haldusala;10341618
Maanteeamet;Majandus- ja Kommunikatsiooniministeeriumi haldusala;70001490
Majandus- ja Kommunikatsiooniministeerium;Majandus- ja Kommunikatsiooniministeeriumi haldusala;70003158
MTÜ Eesti Intellektuaalomandi ja Tehnoloogiasiirde Keskus;Majandus- ja Kommunikatsiooniministeeriumi haldusala;80351831
MTÜ Eesti Standardikeskus;Majandus- ja Kommunikatsiooniministeeriumi haldusala;80120020
MTÜ Maailma Energeetikanõukogu Eesti Rahvuskomitee;Majandus- ja Kommunikatsiooniministeeriumi haldusala;80191758
MTÜ Majandusajaloo Muuseum;Majandus- ja Kommunikatsiooniministeeriumi haldusala;80017405
OÜ Rail Baltic Estonia;Majandus- ja Kommunikatsiooniministeeriumi haldusala;12734109
Riigi Infokommunikatsiooni Sihtasutus (RIKS);Majandus- ja Kommunikatsiooniministeeriumi haldusala;90006101
Riigi Infosüsteemi Amet (RIA);Majandus- ja Kommunikatsiooniministeeriumi haldusala;70006317
Sihtasutus Ida-Virumaa Tööstusalade Arendus;Majandus- ja Kommunikatsiooniministeeriumi haldusala;90003841
Sihtasutus KredEx;Majandus- ja Kommunikatsiooniministeeriumi haldusala;90006012
Sihtasutus Tallinna Teaduspark TEHNOPOL;Majandus- ja Kommunikatsiooniministeeriumi haldusala;90008258
Tarbijakaitseamet;Majandus- ja Kommunikatsiooniministeeriumi haldusala;70003247
Tehnilise Järelevalve Amet;Majandus- ja Kommunikatsiooniministeeriumi haldusala;70003218
Veeteede Amet;Majandus- ja Kommunikatsiooniministeeriumi haldusala;70002414
