id.x;kanal.x;aasta;ajakulu.y;hind.y;osutamistearv.y;rahulolu.y
mta-148;E-iseteenindus;2013;;;7;62
mta-187;E-iseteenindus;2013;;;71;
mta-189;E-iseteenindus;2014;;;;62
mta-199;E-post;2014;;;;62
mta-210;E-iseteenindus;2013;;;69067;
PMA-001;Veebileht;2013;;;4898;
PMA-004;E-iseteenindus;2013;;;1088;
PMA-005;E-post;2013;;;303;
PMA-006;E-iseteenindus;2013;;;5;
PMA-006;E-post;2013;;;1839;
PMA-014;E-post;2013;;;252;
PMA-015;E-iseteenindus;2013;;;23;
PMA-019;Veebileht;2013;;;337;
PMA-020;Veebileht;2013;;;15671;
PMA-022;Veebileht;2013;;;1688;
PMA-024;Veebileht;2013;;;346;
PMA-026;E-post;2013;;;282;
PPA-001;E-post;2013;;;760;
PPA-004;E-iseteenindus;2013;;;82;
PPA-005;E-iseteenindus;2013;;;26334;
PPA-006;E-post;2013;;;10;
PPA-009;Eesti;2013;;;20;
PPA-013;E-post;2013;;;200;
PPA-014;E-post;2013;;;30;
PPA-015;E-iseteenindus;2013;;;5299;
PPA-017;E-iseteenindus;2013;;;1383;
PPA-018;E-iseteenindus;2013;;;20867;
PPA-020;E-iseteenindus;2013;;;38043;
PPA-022;E-iseteenindus;2013;;;252;
PPA-024;E-post;2013;;;350;
PPA-030;E-iseteenindus;2013;;;6605;
PPA-033;E-post;2013;;;106;
PPA-034;E-iseteenindus;2013;;;502077;
PPA-035;E-iseteenindus;2013;;;5545;
PPA-036;E-post;2013;;;100;
PPA-038;E-iseteenindus;2013;;;169080;
PPA-042;E-post;2013;;;61;
PRIA-003;Post;2013;;;98;
PRIA-004;E-post;2013;;;345;
PRIA-005;E-iseteenindus;2013;;;11914;
PRIA-006;E-iseteenindus;2013;;;733;
PRIA-008;E-iseteenindus;2013;;;140;
PRIA-011;E-iseteenindus;2013;;;11914;
PRIA-012;E-iseteenindus;2013;;;3040;
PRIA-012;E-post;2013;;;286;
PRIA-012;Post;2013;;;149;
PRIA-013;E-iseteenindus;2013;;;878;
PRIA-013;Letiteenus büroos;2013;;;274;
PRIA-016;Letiteenus büroos;2013;;;34;
PRIA-016;Post;2013;;;4;
PRIA-018;E-iseteenindus;2013;;;71;
PRIA-018;Post;2013;;;8;
PRIA-025;Letiteenus büroos;2013;;;1524;
PRIA-025;Post;2013;;;3368;
PRIA-026;E-post;2013;;;92;
PRIA-026;Post;2013;;;626;
PRIA-027;E-post;2013;;;138;
PRIA-028;E-iseteenindus;2013;;;19935;
PRIA-028;Letiteenus büroos;2013;;;780;
PRIA-029;Letiteenus büroos;2013;;;240;
PRIA-029;Post;2013;;;80;
PRIA-030;E-iseteenindus;2013;;;2439;
PRIA-030;Letiteenus büroos;2013;;;65;
PRIA-030;Post;2013;;;354;
PRIA-031;Post;2013;;;408;
PRIA-032;Letiteenus büroos;2013;;;312;
PRIA-033;E-post;2013;;;87;
PRIA-034;E-iseteenindus;2013;;;451;
PRIA-034;Letiteenus büroos;2013;;;172;
PRIA-035;E-post;2013;;;101;
PRIA-036;E-iseteenindus;2013;;;829;
PRIA-036;Letiteenus büroos;2013;;;249;
PRIA-037;E-iseteenindus;2013;;;17;
PRIA-037;E-post;2013;;;2;
